Case,RunTime,Object,EnterTime,Velocity,Acceleration,Condition,PrepTime
19795,136,42.94,FastTapIn,3.679997,0.4924474,16.45889, ,0
19796,136,42.96,FastTapIn,3.699997,0.3048006,-9.382342, ,0
19973,137,47.84,FastTapIn,3.519997,0.4424829,17.02586, ,0
19974,137,47.86,FastTapIn,3.539997,0.2830581,-7.971236, ,0
19975,137,47.88,FastTapIn,3.559997,0.5468718,13.19068, ,0
20148,138,52.6,FastTapIn,3.439997,0.3415395,10.85796, ,0
20149,138,52.62,FastTapIn,3.459997,0.2429463,-4.929658, ,0
20150,138,52.64,FastTapIn,3.479997,0.6717709,21.44123, ,0
20326,139,57.42,FastTapIn,3.499997,0.2401473,8.620652, ,0
20327,139,57.44,FastTapIn,3.519997,0.1429629,-4.85922, ,0
20328,139,57.46,FastTapIn,3.539997,0.4898346,17.34358, ,0
20329,139,57.48,FastTapIn,3.559997,0.332757,-7.853881, ,0
20507,140,62.5,FastTapIn,3.539997,0.2489904,7.391428, ,0
20508,140,62.52,FastTapIn,3.559997,0.2383597,-0.5315341, ,0
20509,140,62.54,FastTapIn,3.579997,0.6496493,20.56448, ,0
20702,141,17.78,FastTapIn,3.839997,0.2506173,8.731404, ,0
20703,141,17.8,FastTapIn,3.859997,0.1931668,-2.872521, ,0
20704,141,17.82,FastTapIn,3.879997,0.2590413,3.293724, ,0
20705,141,17.84,FastTapIn,3.899997,0.7257453,23.3352, ,0
20880,142,23.0,FastTapIn,3.479997,0.2160172,8.24752, ,0
20881,142,23.02,FastTapIn,3.499997,0.306492,4.523736, ,0
20882,142,23.04,FastTapIn,3.519997,0.4613234,7.741574, ,0
20883,142,23.06,FastTapIn,3.539997,1.081595,31.01356, ,0
21055,143,28.44,FastTapIn,3.419997,0.2296102,5.055519, ,0
21056,143,28.46,FastTapIn,3.439997,0.6041651,18.72775, ,0
21057,143,28.48,FastTapIn,3.459997,0.3979227,-10.31212, ,0
21230,144,33.46,FastTapIn,3.439997,0.2439573,7.729873, ,0
21231,144,33.48,FastTapIn,3.459997,0.2013045,-2.132639, ,0
21232,144,33.5,FastTapIn,3.479997,0.5066318,15.26636, ,0
21233,144,33.52,FastTapIn,3.499997,0.2795354,-11.35482, ,0
21410,145,38.62,FastTapIn,3.519997,0.2501094,8.847779, ,0
21411,145,38.64,FastTapIn,3.539997,0.2193108,-1.539928, ,0
21412,145,38.66,FastTapIn,3.559997,0.5940818,18.73855, ,0
21413,145,38.68,FastTapIn,3.579997,0.4619017,-6.609004, ,0
21593,146,43.66,FastTapIn,3.579997,0.2152727,7.729535, ,0
21594,146,43.68,FastTapIn,3.599997,0.1597636,-2.775457, ,0
21595,146,43.7,FastTapIn,3.619997,0.3874453,11.38408, ,0
21596,146,43.72,FastTapIn,3.639997,0.2373807,-7.503229, ,0
