Case,X,Y,Z,a,v,modeSelected,area_type,index,is_triggered,,,,,
50,0.01588906,1.159432,0.4384584,-56.11269,0.574607,Tap,5,17,-0.04253437,1.114766,-0.02567291,-0.06334104,-0.06816366,-0.00306093
50,-0.01112857,1.165056,0.4273524,45.63903,1.487388,Tap,3,-1,-0.04364991,1.114595,-0.0258441,-0.06159289,-0.07132538,-0.004770667
50,-0.02447828,1.167505,0.4174123,-32.31142,0.8411592,Tap,3,-1,-0.04429964,1.114564,-0.02596664,-0.06059137,-0.07306594,-0.006216825
50,-0.04213437,1.16978,0.4068255,9.722143,1.035602,Tap,3,-1,-0.04473082,1.114381,-0.02604055,-0.05927574,-0.07511736,-0.007794315
50,-0.06981049,1.171928,0.3953066,23.356,1.502722,Tap,3,-1,-0.04549096,1.114051,-0.0261178,-0.05581792,-0.07847157,-0.009510453
50,-0.09435041,1.173102,0.3847795,-8.315158,1.336419,Tap,3,-1,-0.04599441,1.114181,-0.02619696,-0.05455093,-0.08012286,-0.01026467
50,-0.1046647,1.171598,0.3924603,-34.45186,0.6473817,Tap,3,-1,-0.04701271,1.11426,-0.02612829,-0.05253267,-0.08392838,-0.01291421
50,-0.12504,1.169175,0.3953929,19.44936,1.036369,Tap,3,-1,-0.04751274,1.114118,-0.02605295,-0.0521206,-0.08564732,-0.01402088
50,-0.1362106,1.169979,0.3964524,-23.69463,0.5624764,Tap,3,-1,-0.0480615,1.113956,-0.0259757,-0.05208483,-0.0867327,-0.0149066
50,-0.1475442,1.170673,0.3971024,0.3097385,0.5686712,Tap,3,-1,-0.04960381,1.114039,-0.02608109,-0.05177324,-0.08923443,-0.01699166
50,-0.1629749,1.169332,0.3992939,10.67438,0.7821588,Tap,3,-1,-0.05036359,1.113584,-0.02588654,-0.05213627,-0.09041572,-0.01701398
50,-0.1687673,1.168558,0.397161,-23.55579,0.3110429,Tap,3,-1,-0.05211745,1.114033,-0.02580976,-0.05122273,-0.09276564,-0.01713499
50,-0.1795178,1.166992,0.3955917,11.88962,0.5488353,Tap,3,-1,-0.05300334,1.114099,-0.02569389,-0.0513118,-0.09360046,-0.01785016
50,-0.1864574,1.166387,0.3962307,-9.953623,0.3497628,Tap,3,-1,-0.05489936,1.114315,-0.02542782,-0.05179716,-0.09483656,-0.01728175
50,-0.1968589,1.166701,0.4055424,17.42227,0.6982083,Tap,3,-1,-0.05575785,1.114125,-0.02540827,-0.05171218,-0.09539405,-0.01671434
50,-0.1989927,1.167985,0.4088488,-24.56231,0.206962,Tap,3,-1,-0.05665499,1.114248,-0.02532101,-0.05088822,-0.09618596,-0.01632366
50,-0.2035447,1.169481,0.4138541,6.97472,0.3464564,Tap,3,-1,-0.05756695,1.114311,-0.02516365,-0.05057042,-0.09652427,-0.01633744
50,-0.2060146,1.17056,0.4157929,-9.022666,0.1660031,Tap,3,-1,-0.05927012,1.114642,-0.02480936,-0.05125887,-0.09684869,-0.01579704
50,-0.2128349,1.171439,0.4196796,11.44762,0.3949555,Tap,3,-1,-0.06003588,1.114684,-0.02468061,-0.0514744,-0.09689097,-0.01563896
50,-0.2138736,1.171215,0.4221096,-13.11748,0.1326059,Tap,3,-1,-0.06127605,1.11433,-0.024508,-0.05086321,-0.09610535,-0.01490121
50,-0.2126702,1.172503,0.4272423,6.936942,0.2713447,Tap,3,-1,-0.06247772,1.114415,-0.02445507,-0.04968712,-0.09546156,-0.01436414
50,-0.2088164,1.175514,0.4292116,-0.386025,0.2636242,Tap,3,-1,-0.06297539,1.114492,-0.0243721,-0.04949734,-0.09495415,-0.01355739
50,-0.2059501,1.17691,0.4319482,-2.677772,0.2100687,Tap,3,-1,-0.06396165,1.114367,-0.02440023,-0.04938288,-0.09384606,-0.01159417
50,-0.2039732,1.176731,0.4365401,2.002995,0.2501287,Tap,3,-1,-0.06406461,1.114489,-0.02441645,-0.04905467,-0.09312089,-0.01031575
50,-0.2042703,1.175757,0.4394813,-4.725528,0.1556181,Tap,3,-1,-0.06479294,1.114357,-0.02433443,-0.04885928,-0.09177402,-0.008488012
50,-0.2035079,1.175702,0.4436779,2.883292,0.2132839,Tap,3,-1,-0.06512681,1.114323,-0.02437925,-0.04860811,-0.09134454,-0.007480355
50,-0.2023474,1.173604,0.4505892,7.624465,0.3657732,Tap,3,-1,-0.06539997,1.114272,-0.02440977,-0.04831807,-0.09113018,-0.006898591
50,-0.1981895,1.174178,0.4538102,-5.061574,0.2645417,Tap,3,-1,-0.06562559,1.114094,-0.0244627,-0.04802233,-0.09097017,-0.005375796
50,-0.1957246,1.17346,0.4574718,-2.047293,0.2235959,Tap,3,-1,-0.06601246,1.114042,-0.02448034,-0.04821924,-0.09071369,-0.004237615
50,-0.1948367,1.173194,0.4589367,-6.845969,0.08667651,Tap,3,-1,-0.0660973,1.113965,-0.02457762,-0.04842128,-0.09058783,-0.004428567
50,-0.1938068,1.170746,0.4612942,4.544304,0.1775626,Tap,3,-1,-0.0660693,1.113948,-0.02462387,-0.04878434,-0.09039292,-0.004073975
50,-0.1934221,1.169418,0.4630003,-3.388664,0.1097893,Tap,3,-1,-0.06596253,1.113891,-0.02468586,-0.04866986,-0.0900695,-0.003168251
50,-0.1937554,1.168677,0.4650626,0.05243011,0.1108379,Tap,3,-1,-0.06589212,1.113843,-0.02475595,-0.0488237,-0.09019983,-0.002787007
50,-0.1941831,1.167173,0.4681473,3.103638,0.1729107,Tap,3,-1,-0.06567343,1.114097,-0.02484369,-0.050249,-0.08993913,-0.003708754
50,-0.1946639,1.165811,0.4710827,-0.466419,0.1635823,Tap,3,-1,-0.0652583,1.114447,-0.02483511,-0.05213708,-0.08818473,-0.004196051
50,-0.195522,1.163098,0.475275,4.487547,0.2533332,Tap,3,-1,-0.06510723,1.11456,-0.02479649,-0.05286656,-0.08747496,-0.004538652
50,-0.1965257,1.16174,0.4774222,-5.838007,0.1365731,Tap,3,-1,-0.06477155,1.114934,-0.02474117,-0.05420112,-0.08609869,-0.005160661
50,-0.2003254,1.160186,0.4805532,6.078977,0.2581526,Tap,3,-1,-0.06460036,1.115099,-0.02468538,-0.05534856,-0.08533464,-0.005114861
50,-0.1999843,1.159877,0.4825573,-7.767189,0.1028089,Tap,3,-1,-0.0644699,1.115144,-0.02466679,-0.0555823,-0.08491356,-0.005429562
50,-0.1996723,1.159863,0.4834652,-2.740078,0.04800729,Tap,3,-1,-0.06432336,1.114937,-0.02478027,-0.0540555,-0.08413305,-0.006893428
50,-0.2010998,1.160044,0.4861946,5.313365,0.1542746,Tap,3,-1,-0.06427023,1.114867,-0.02486277,-0.05325632,-0.08397649,-0.007393308
50,-0.2017821,1.161198,0.48914,0.3767475,0.1618095,Tap,3,-1,-0.06418446,1.114968,-0.02493191,-0.05299136,-0.08400156,-0.007450984
